"jobs_title","jobs_requirements"
"Data Architect - Minnetonka, MN - 658923","Working knowledge of Big Data concepts and tools
5+ years of DB development experience with more than 1 DBMS
Proficient Data Modeling
3+ years experience with ETL tools (Informatica, SSIS, Data Stage)
Bachelor's Degree (or equivalent experience)"
"Scrum Master / Software Engineer - Minnetonka, MN - 658913","Experience leading at least one Scrum team
Experience with JIRA or similar tool
Previous hands on software development experience
Bachelor's degree (or equivalent professional experience)"
"Health Care Analytics Consultant - Indianapolis, IN - 652204","Minimum Education - Bachelor’s Degree
3+ years health care data analytics experience
5+ years of full Software Development Life Cycle experience
5+ years of data analysis experience
3+ years Reporting and strong SQL experience
1+ years experience with Data Warehouse concepts, designs & ETL processes"
".NET Developer - WEST VALLEY CITY, UT - US Telecommute for Internal Candidates Only - 659278","Bachelor's Degree or High School Diploma/ GED with 5+ years of application development experience
3+ years of .NET applications development experience
3+ years of experience with the System Development Life Cycle
3+ years of experience with Microsoft SQL Server database design and query optimization"
"Director, Identity Services - Active Directory - 649949",""
"MySQL DBA - Multiple Locations - 658070","5+ years of strong RDBMS database administration experience
3+ years of MySQL support
5+ years of experience working with DBAs and development teams
5+ years of production support or technology administration supporting internal systems
3+ years of strong UNIX/LINUX background
3+ years of experience with UNIX Shell scripting
Experience working with migration tools
Bachelor’s degree in Computer Science or equivalent relevant DBA experience"
"IT Project Consultant - PPRM - Optum Technology - 638455","2 to 3 years of direct experience working on enterprise scale, complex IT projects successfully
2 to 3 years of experience working with the SDLC
Experience working in a matrixed environment with PM, QA and Development teams"
"Automation Engineer - 657783","4+ years of Quality Assurance testing experience in a web application environment testing User Interface, Database, Web services, API’s, Batch/ETL components
1+ years of hands-on testing experience working with complex XML/JSON, MQ interface, EDI X12, SQL transactions
1+ years of hands-on experience working with UNIX operating system and writing DB SQL scripts
3+ years of hands-on scripting/coding experience in any one of the below Java automation testing tools such as Spock, Groovy, Selenium, Gatling, JUnit, Geb, Cucumber, C++, .Net or other similar tools which uses object oriented programs
2+ years of experience writing test plans and test cases
Exposure to incremental agile software development methodologies
Prior experience in working closely with Developers and Architects in solving software defects
Experience in creating and implementing testing methodologies, processes to solve testing problem in hand"
"Sr IT Proj Cnslt - 652199","5+ years of data gathering/analysis and writing system requirements
5+ years' experience in tracking, planning projects, working with large data sets and making data-driven analytical decisions
Healthcare Industry experience. Familiarity with Medicaid and other State programs
Experience managing data warehousing projects
Experience with release and change management processes
Experience working in fast paced environment
Experience improving processes
Intermediate level of proficiency with MS Project, Excel, Visio, PowerPoint and SharePoint
Experience working with test plans and test cases
Excellent time management, organizational, and prioritization skills and ability to balance multiple priorities
Familiarity with the full SDLC and Agile methodologies will be helpful
Project Management Professional (PMP) Certification"
"Senior IT Database Analyst - Minnetonka, MN - 658362","Bachelor’s Degree or HS Diploma/GED with 4+ years of IT experience
Minimum of 2+ years middleware platform experience on one of these platforms such as WebSphere, JBOSS, IHS,APAWS or databases such as Oracle, SQL Server or MySQL
Broad knowledge of middleware and database platforms
Willingness and ability to participate in on-call rotation
Support experience in a technical environment"
"IT Systems Analyst ll - Baltimore, MD - 659098","Experience in Agile methodologies
Knowledge of Health Plan operations
Understand HIPAA compliance policy and security.
Experience in creating and managing project plans."
"Senior IT Network Analyst - WellMed - San Antonio, TX - 641984","Bachelor’s degree required (Four additional years of comparable work experience beyond the required years of experience may be substituted in lieu of a bachelor’s degree)
Four to five years of experience with Cisco networking and equipment technology
Four to five years of experience with Microsoft Active Directory and Microsoft Operating Systems
Exceptional planning and project implementation skills to achieve high visibility solutions
Exceptional communication skills
Exceptional analytical and problem solving abilities
Ability to prioritize and balance workload in a high-demand environment"
"C# - SQL Server Application Developer - Tampa, FL - 651873",""
"Enterprise Technical Product Manager - MN, NC, MA, or WA - 647324","Bachelor's degree required
Minimum of 5 years of working hands-on with all aspects of Software Development Life Cycle
Minimum of 5 years of Product Management experience
Some formal Product Management Training (e.g. Pragmatic)
Ability to work in an ambiguous and dynamic environment and comfort collaborating with multidisciplinary design teams in a non-hierarchical organization.
Ability to pull together multiple different, and sometimes conflicting, inputs (data, qualitative feedback, hypothesis, etc.) into a common point of view.
Demonstrated understanding of value based physician contracts, accountable care models, and capitated arrangements and its impact on care."
"Senior QA Test Lead – Data Warehouse - Minnetonka, MN - 647303","Minimum of 4 years of quality assurance/software testing experience
Minimum of 1 year of experience testing large, complex Data Warehouse/ETL applications (within the last 2 years)
Minimum of 2 years of experience as a QA team lead in an onshore/offshore model environment
Minimum of 3 years of relational database experience such as Oracle, SQL Server, Teradata or DB2 (within the last 2 years)
Minimum of 2 years of experience writing complex SQL scripts including complex select statements using multiple joins on a regular basis (within the last 2 years)
Bachelor’s degree or equivalent professional experience
Proficiency in MS Office (Word, Excel, Outlook)"
"IT Security Consultant - WellMed - San Antonio, TX - 624960","Bachelor’s degree (Four additional years of comparable work experience beyond the required years of experience may be substituted in lieu of a bachelor’s degree)
(ISC)2 CISSP
Five or more years of experience with security equipment and technology
Five or more years of experience with Microsoft Active Directory and Microsoft Operating Systems
Exceptional planning and project implementation skills to achieve high visibility solutions
Exceptional communication skills
Exceptional analytical and problem solving abilities
Ability to prioritize and balance workload in a high-demand environment"
"HL7 Interface Analyst - Boston, MA - 658793",""
"DevOps Lead Engineer - Eden Prairie, MN - 646517","6+ years supporting software releases
6+ years managing environment (Linux) changes and code deployments
4+ years Continuous Integration experience
10+ years in software development and deployment
Advanced Middleware/Infrastructure design and implementation knowledge of Service Oriented Architecture enabled, multi-tier J2EE applications
Extensive experience with performance tuning of JVM, EJB's and data sources
Well versed with SSL Certs maintenance and SSO authentication methodology
Ability to help manage releases for a highly complex environment
Proven ability to troubleshoot issues and identify root causes
Relevant Bachelor’s degree, or equivalent experiences"
"Java Technical Architect - Boston, MA - 658727","2+ years of technical leadership experience
6+ years of application development experience
Strong hands-on experience with Java SE and the Spring Framework
Demonstrated success in building design patterns and software engineering best practices
Experience with automated unit testing technologies (such as JUnit, Spock, or similar)
Good understanding of SQL, relational database modeling and design
Experience in complex projects with division or company-wide scope
Experience with API or micro-services architectures"
"Product Manager IT- Schaumburg, IL or Eden Prairie, MN - 651468","Bachelor's degree or higher level of education or equivalent experience
4+ years of IT project management experience
4+ years of business analysis experience
4+ years experience working with SDLC development projects"
"Application Development Consultant - Eden Prairie, MN - 655096","Bachelor’s Degree or equivalent experience
5+ years as expert Java J2EE developer (JSP, Servlets, Struts, Spring and Log4J)
5+ years of App Server experience (JBoss or WAS or Weblogic)
3+ years SOAP/REST Web services experience
3+ years of Linux / Unix experience
3+ years of Oracle PL/SQL experience
3+ years of experience with the Software Development Life Cycle (SDLC) processes
Ability to do on call support"
"IT Project Manager- Las Vegas, NV - 658302","2+ years of IT Project Management experience
3+ years of professional experience in Systems Analysis or IT Development
3+ years of professional experience in all phases of the Software Development Life Cycle (SDLC) /System Development Life Cycle"
"Business Intelligence (BI) Architect & Sales Engineer - Minneapolis, MN or Hartford, CT - 646293","6+ years experience (expert level) in Cognos, MicroStrategy, Business Objects, Tableau or equivalent product, including metadata modeling
8+ years relational database and SQL experience
8+ years SQL (expert level)
5+ years involved in design and enhancement of dimensional and transactional data models."
"Director, UHC IS Operations - 652703",""
"Business Solution Architect - Minnetonka, MN - 657278","Undergraduate degree or equivalent experience
8+ years of overall business/ technology experience
5+ years of experience with broad systems architecture design, planning and implementation
4+ years of experience in software design and development
4+ years of experience with technology modeling skills, including application, data and technology
3+ years of experience in the Healthcare Payer Environment
3+ years of experience defending ideas and solutions to technology professionals with potential contrary views
Exceptional verbal and written communication skills"
"Director, Identity Services - PKI - 649947","10 + years of professional experience with progressively more responsible roles
5 + years of technology infrastructure experiences
5 + years of experience serving as a leader in a large, enterprise environment
5 + years of experience leading teams and directly managing technology professionals
Prior experience leading distributed teams, including both on and offshore team members
Proven strategic thinking abilities and an enterprise-wide perspective
Demonstrated success building new capabilities that did not previously exist
Track record of successful delivery of multi-million dollar programs using structured methodology (Lean preferred)
Broad understanding of technology and how it's used to drive business growth and/or efficiencies
Demonstrated ability to apply structured process, methods and tools to create scalable solutions
Proven experience delivering high quality technology solutions on time and on budget
Inspirational leadership style that promotes innovation and collaboration and fosters commitment to a shared vision
Exceptional communication skills and the demonstrable ability to communicate appropriately at all levels of the organization including senior technology and business leaders
Demonstrated experience managing organizational growth and change
Results-oriented individual with strong coaching, decision making, influencing, mentoring, negotiation, problem solving and situational analysis skills
Bachelor's degree in Computer Science or related field or equivalent experience
Experience with Infrastructure as Code and/or DevOps preferred
Information Risk Management (IRM) experience of value
Strong network of IRM professionals to engage with as needed desired
Knowledge of PKI technology tools useful"
"ServiceNow Developer - Minnetonka, MN - 654104","3+ years of Service Catalog experience
2+ years of experience configuring and customizing all aspects of ServiceNow (UI Actions, UI Policy, UI Pages, Business Rules, Client Scripts, Include Scripts, Catalog Client Scripts, Catalog UI Polices, Email Scripts, Scripted Web Services, Rest and SOAP web services, Roles / Groups)
2+ years of practical experience with Java scripting
Excellent oral and written communication skills, and excellent customer service skills
Demonstrated ability to collaborate and work effectively in a team environment
Demonstrated excellent analytical abilities
Bachelor's degree in Computer Science or equivalent experience"
"Director; IT Project Management - Schaumburg, IL (Optum Rx) - 656505","Relevant bachelor's degree or equivalent experience
10+ years of experience leading cross-application IT projects or programs successfully
5+ years with CRM and strong relationship building skills. High touch, white glove service delivery
5+ years of proven financial acumen with experience managing budgets in the $25-50M range
Proven track record leading matrix IT teams with 20-30 staff or more
1+ years of Pharmacy Benefits experience (Rx, PBM)
Strong communication skills at multiple levels (present to VP or C level on a regular basis)
1+ years of experience in developing products using Agile delivery techniques (e.g. Scrum)
2+ years as a manager or team leader
Ability to lead and supervise direct staff if needed ie: lead a PM team
Experience in the field of professional services or management consulting (Big Four Consulting firms such as Deloitte, PwC, KPMC, Accenture etc…)
PMP or PMI formal training and certification
Location must be based in Schaumburg, IL office location on site with key customers"
"Manager, Application Development (AS/400, Cobol) - Schaumburg, IL - 653717","10+ years Software Development Management experience in a large enterprise environment
10+ years technical experience in one or more aspects of Information Systems Development or Business / Information Systems areas
Systems Development Life Cycle (SDLC) project management
Budget tracking and complex cost benefit analysis
Very strong understanding of distributed technologies & architecture
Solid understanding of mainframe technologies (AS/400 / COBOL / iSeries)
Ability to build and manage relationships across a large enterprise
C-level interface and presentation skills
Proficiency in computer software such as Project, Power Point, Excel
Experience in managing onshore & offshore IT Development & BA resources
Strong PBM / Healthcare Experience
May travel up to 10% of the time"
"IT Director, State Relationship Management - Nebraska MLTC Medicaid Program, known as Heritage Health - 642801","Experienced in the delivery of technology solutions and deep understanding of business requirements
Ability to analyze and take action on key performance indicators (KPIs)
Prior success building collaborative business partner relationships
Deep working knowledge of how business and IT organizations interact and operate together
5+ years of in developing solutions to business problems
Demonstrated knowledge of the entire SDLC
Program and project management experiences
Experience with capital planning and CBA development
Ability to translate a business agenda into technology terms and vice-versa
Demonstrated influencing and negotiation abilities
Undergraduate degree, or equivalent experience"
"Senior Big Data Technical Support Lead - multiple locations - 648660","10+ years of Java experience
7+ years of Data Warehouse Experience
5+ years of ETL Experience - Talend or DataStage, or Informatica
5+ years of Productions Support experience - Supporting projects and code that run production systems with business SLAs
7+ years Unix experience - Need to use UNIX / Linux commands to locate files and directories, analyze data and move data from point A to point B"
"Senior IT Systems Analyst - Plymouth, MN - 647379","Undergraduate Degree or equivalent work experience
7+ years of professional IT experience
5+ years of experience in Systems Analysis or IT Development
5+ years of experience in all phases of Software Development Life Cycle (SDLC) / System Development Life Cycle
5+ years of experience translating business requirements into a detailed system specification
5+ years of experience mapping data from web services or database to user interface
2+ years of experience dealing with HIPAA/PII/PCI data guidelines and regulations
Proficiency with Word, Excel, Visio, PowerPoint
Strong written and verbal communications"
"IT Systems Analyst II - Phoenix, AZ - 647800","Bachelor's Degree (or HS diploma / GED with 4+ years of total IT work experience)
1-2 years of experience in IT business analysis, Systems Analysis, or systems development
1+ years of SQL experience with understanding of relational database concepts
Some Healthcare experience"
"Senior IT Systems Analyst - Plymouth, MN - 647378","Undergraduate Degree or equivalent work experience
7+ years of professional IT experience
5+ years of experience in Systems Analysis or IT Development
5+ years of experience in all phases of Software Development Life Cycle (SDLC) / System Development Life Cycle
5+ years of experience translating business requirements into a detailed system specification
5+ years of experience mapping data from web services or database to user interface
2+ years of experience dealing with HIPAA/PII/PCI data guidelines and regulations
Proficiency with Word, Excel, Visio, PowerPoint
Strong written and verbal communications"
"Senior IT Database Analyst - Norristown, PA - 656307","Bachelor’s degree in Computer Science or related Engineering degree
5+ years SQL query experience, including experience in tuning and optimizing SQL queries
3+ years developing complex MS SQL Reporting Services Reports, including understanding of filters, group by, drill down, charts, graphs, aggregates, basic statistics percentages, averages and medians
3+ years of SSIS experience
Some level of exposure to SSAS toolset and all accompanying functionality such as data warehouses, fact and dimension tables, MDX queries, etc.
Strong knowledge of windows environment"
"Senior Teradata ETL & SQL developer - Minnetonka, MN - 657855","Bachelor's Degree (or equivalent professional experience)
8+ years of experience in IT systems analysis, data analysis, software design, or a combination of roles within the SDLC lifecycle
5+ years of recent hands-on experience with ETL toolset in Unix/Linux environments involving data management (Data Stage or Talend preferred, but other ETL tools considered)
2 years of Teradata experience (must have worked with Teradata within the last 1 year)
2+ years of experience with Tivoli (TWS) or equivalent job scheduling tool
4+ years of experience writing and tuning the SQL queries and stored procedures with relational databases
Available locations: Eden Prairie, MN; Boston, MA"
"IT Operating Systems Consultant - Plymouth, MN - 658646","“Agile” team experience"
"Technology Support Analyst - Plymouth, MN - 656232","Technical degree or High School Diploma/ GED with 2+ years experience in a Tech Support Role
1+ years Level 1 troubleshooting experience and relevant duties
Knowledge of Incident, Problem, and Change Management and/or ITIL Framework"
"Senior .Net Developer - Las Vegas, NV - 654184","Health care industry experience
Experience in Integration"
"Technology Support Analyst - Night Shift - Overland Park, KS - 655124","Undergraduate degree or higher
Pharmacy or Hospital experience
DC circuits experience
Industrial automation controls experience"
"Senior IT Systems Analysis Consultant - Eden Prairie, MN - 657084","Undergraduate degree or equivalent experience
3+ years of System Analysis/Development experience
3+ years of experience working in the different phases of development
2+ years of Relational Database experience
2+ years of writing system requirements
Understanding of data gathering/analysis
Knowledge of the Software (System) Development Life Cycle
Experience working with test plans and test cases
Experience facilitating Joint Application Development (JAD) sessions
Proficiency with MS Office (Including Word, Excel, Outlook, PowerPoint)
Proficiency with MS Project
Proficiency with MS Visio
Healthcare Industry experience"
"Senior Solutions Analyst - Multiple Locations - 654257","5+ years of applicable work experience required
5+ years of working hands-on experience with all aspects of Software Development Life Cycle
1+ years of Agile experience
1+ years Web Service Design (REST Services)
10-25% travel, day and overnight"
"Scrum Master - Raleigh, NC - 656266","5+ years of IT experience
5+ years of experience as a Scrum Master, Product Owner or Agile Coach
5+ years of experience working on mixed methodology program (Scrum interfacing with Waterfall from a dependency perspective)
5+ years of experience working on large scale, multiple Scrum team projects
3+ years of Rally
3+ years Iterative development
3+ years of software development processes and procedures
3+ years of Backlog tracking, burndown metrics, velocity, and task definition
3+ years of incremental delivery and the value of metrics"
"Storage Administrator - Plymouth, MN - 650383","Bachelor's Degree OR High School Diploma/GED with 4+ years' experience in computer science field.
3+ years of enterprise storage administration experience.
2+ years experience working with large storage arrays such as HP 3PAR, EMC VMAX, Netapp E-series, Hitachi G1000, VSP or USPV arra
2+ years experience with Brocade and Cisco SAN direct
2+ years supporting operating system experience."
"Service Coordinator - Cypress, CA - 655127",""
"Data Lake / Technical Lead - Eden Prairie, MN - 639689","10 + years in the software engineering profession
3 + years serving in a Technical Lead role leading and mentoring software engineers
5+ years of working with complex systems
5+ Years Hands on expertise with UNIX
5+ Years Hands on expertise with SQL
3 or More Years Hands on expertise with Big data technologies (HBASE, HIVE, SQOOP, MAPR, PIG, SPARK, Splunk, and Talend)
2+ years of working with Data Analytical tools
2+ years of experience with Java programs Frameworks in an Agile/Scrum methodology
Bachelor’s degree or equivalent experience in a related field"
"IT System Analyst Consultant - Baltimore, MD - 649052","Bachelor's Degree or equivalent work experience
5+ years of experience in Systems Analysis or IT Development
5+ years of experience in all phases of Software Development Life Cycle (SDLC) /System Development Life Cycle
5+ years of experience translating business requirements into a detailed system specification
5+ years of experience mapping data from web services or database to user interface
Proficiency with MS Project, Word, Excel, Visio, PowerPoint
5+ years of Relational Database experience"
"Java Applications Developer - Eden Prairie, MN - 655099","Health care industry experience
Familiarity with monitoring tools such as New Relic, HPSM, or Dynatrace
Data Analysis Experience"
"Senior IT Desktop Engineer - Windsor, CT - 655261","Providing senior level expertise on decisions and priorities regarding the enterprises overall systems architecture.
Facilitate the establishment and implementation of standards and guidelines that guide the design of technology solutions including architecting and implementing solutions requiring integration of multiple platforms, operating systems and applications across the enterprise.
Reviews, advises and designs standard software and hardware builds, system options, risks, costs versus benefits and impact on the enterprise business process and goals.
Develops and documents the framework for integration and implementation for changes to technical standards.
Provides technical guidance to project team areas as appropriate.
Tracks industry trends and maintains knowledge of new technologies to better serve the enterprises architecture needs."
"Sr. IT Systems Analyst - Schaumburg, IL - 657897","Bachelor’s degree in an information systems field or equivalent work experience
5+ years of experience translating requirements into functional system specifications
3+ years of experience with IBM iSeries AS/400 systems analysis, development or QA Testing (i.e. DB2, working with libraries, jobs, files, tables, queries)
3+ years of experience with systems analysis, development or QA Testing of other platforms, Linux/Unix Oracle SQL, Windows, Java, Web Services, ETL processes
3+ years of experience designing/mapping/modeling data to/from databases to/from user interfaces, files, reports, web services, etc.
Excellent written and verbal communication skills, organizational and interpersonal skills, planning and project management skills
Ability to effectively multi-task and work on time-sensitive deliverables
Strong decision-making, organizational, planning and problem-solving skills
Ability to work independently, as well as on a team
Ability to read, analyze, and interpret business periodicals, professional journals, and technical procedures"
"IT Systems Analyst – Santa Ana, CA - 657202","Bachelor Degree or High School Diploma/ GED with 2+ years experience the IT field
2+ years Exposure to ERP System preferably Oracle ERP
2+ years experience with Microsoft Office
2+ years experience Database Concept especially around Oracle Database"
"Manager IT Security - US Telecommute - 654012","Previous experience in internal audit and external audit
Professional IT management experience in a large, enterprise environment
Prior experience leading distributed teams
Big 4 audit experience
Previous experience with FedRAMP or ISO control frameworks
Previous experience with SOC2 or HITRUST
CISSP, CISM, or CISA Certification"
"IT Data Analytics Analyst - Las Vegas, NV - 655244","Bachelor's Degree OR High School Diploma/GED with 2+ years of Relational Database Management Systems experience
2+ years of experience with Relational Database Management systems (e.g.. MS Access, SQL or Oracle)
2+ years of experience performing Data Analytics and Reporting
2+ years of Microsoft Excel experience including pivot tables, creating formulas, data manipulation"
"Specialty Pharmacy IT Business Architect - Schaumburg, IL - 649688","Bachelor's degree in Math, Statistics or Computer Science, or High School Diploma/GED with 10+ years of experience
10+ years of experience in IT
2+ years of Business Architecture experience
Must be proficient in report writing and query skills such as SQL, and various word processing, spreadsheet, graphics, and database programs including Microsoft Word, Excel, Access, PowerPoint, Outlook, Visio etc."
"Senior Reports Developer - SAS - Rocky Hill, CT - 653245",""
"Senior Applications Developer - Eden Prairie, MN - 655897","Bachelor's Degree or equivalent work experience
3+ years of experience in Computer Operations (Mainframe Z/OS (MVS), Systems Analysis, coding & tuning; able to identify & deploy fix for system breaks, JCL
2+ years of experience in DB2
2+ years of experience in all phases of Software Development Life Cycle (SDLC) /System Development Life Cycle
2+ years of experience translating business requirements into a detailed system specification
Proficiency with MS Project, Word, Excel, Visio, PowerPoint"
"Provisioning Product Manager - 647173",""
"Oracle Appliance Engineer - 652645",""
"Delivery Lead- Basking Ridge, NJ - 652098","Professional experience in executing different disciplines of Software Development Life Cycle including Business Analysis and / or Quality Assurance
Professional experience with IT Finance including developing Cost Benefit Analysis and Project ROI
Professional experience in performing Data Analysis
Willingness and ability to influence and drive behaviors in an enterprise-level environment
Strong facilitation and presentation skills"
"Applications Developer Consultant - Salt Lake City, UT - 656284","8+ years of experience with C++
8+ years of experience with Oracle (PL/SQL, SQL, DML, DDL, etc.)
5+ years of experience with C#
3+ years of experience with Agile development (SCRUM, XP, etc.)
5+ years of full Software Development Life Cycle experience
5+ years of experience working as an applications developer
Bachelor's degree or equivalent"
"Senior Project Manager - Revenue Cycle (Optum 360) - 654878","Bachelor's degree or equivalent experience
7+ years of experience in use and application of Project Management process, skills, and tools
5+ years of experience to lead cross functional teams
2+ years or more knowledge of billing, revenue cycle products, process and tools in healthcare insurance or provider environment
Timely and regular progress and Risk Management reporting as required
Strong analytical skills
Ability to produce project plans, schedules and Gantt-based timelines in anticipation to then manage critical milestones and deadlines through to effective closure
Healthcare industry and/or provider based operational knowledge
Previous experience working in Microsoft Excel, Project, and Word
Ability to manage and prioritize multiple projects as required
Formal Rigor and PM methods required must use discipline and project standards common to the industry.
Demonstrated ability in managing process improvement projects, documenting requirements and working with both IT and business units to deliver identified projects and improvements
Demonstrated verbal and written communication skills, including the development of proposals, presentations and training/communications materials
Work in Atlanta or major East Coast city with 25% travel in the U.S."
"Scrum Master- Bellevue, WA - 655451","3+ years of professional experience as a Scrum Master on a Software Development team
3+ years of professional experience working within the SDLC
Knowledge and/or experience with various Agile techniques: TDD, ATDD, Automated Testing, Pair Programming, User Stories, Agile Games, Retrospective formats
Experienced with team leadership, facilitation, situational awareness, conflict resolution, continual improvement, empowerment and increasing transparency"
"Senior Software Engineer - Salt Lake City, UT - 654964","10+ years in the software engineering profession
Demonstrated success designing and building high-quality commercial software applications
Proven experience delivering software using an Agile/Scrum methodology
Expertise across the entire SLDC
Relevant Bachelor's degree or equivalent work experience in a related field"
"Tech Lead - Boston, Basking Ridge, NJ - 656756","15+ years of success operating in a technical leadership role within large, global, matrixed, complex organizations (hands on technical role)
Broad understanding of technology and how it's used to drive business growth and/or efficiencies
Demonstrated ability to apply process, architecture and software engineering principles, methods and tools to business challenges
Proven experience delivering high quality technology solutions on time and on budget
Track record of building and maintaining long-term working relationships
Ability to build the right team, focus people and model/demand integrity
Exceptional communication skills and the demonstrable ability to communicate appropriately at all levels of the organization (this includes written and verbal communications as well as visualizations)
Results-oriented individual with strong coaching, decision making, influencing, mentoring, negotiation, problem solving and situational analysis skills
Bachelor's degree in Computer Science or related field or equivalent experiences"
"IT Systems Analyst II- Las Vegas, NV - 651104","2+ years of IT experience
2+ years of Systems Analysis experience
Knowledge of continuous Process Improvement
Professional experience working directly with end users and Developers to establish business requirements"
"DataStage Consultant - Multiple Locations - 656151","5+ years of Data Analysis experience
5+ years of Professional IT management experience in a large, enterprise environment (Fortune 1000 company)
Working knowledge of talend suite of products/solutions highly preferred
Health care industry experience"
"Right Fax Administrator - Mulitple Locations - 641309","Undergraduate degree or equivalent experience
Minimum of 1 year of active experience managing and supporting a high volume (4MM pages / month) RightFax environment greater than 10 servers
Detailed understanding of RightFax server and application concepts and architecture
RightFax installation, configuration, application integration and deployment
Previous production support of the RightFax environment supporting multiple businesses
Maintenance activities such as patches, disk adds, and operational checkouts
Technical lead capable of troubleshooting and diagnosing problems experienced by end users
Regular off-hours work to support system maintenance, incident, and break/fix response
Participation in capacity and volume forecasting activities designed to ensure system resource availability at all times"
"Lead Developer/SOA Architect - Schaumburg, IL - 649504","3+ years of progressively complex experience and expert-level skill in analysis, design and programming
3+ years of software development methodologies and design patterns
3+ years of Software Development Lifecycle (SDLC) activities including, requirements, design, coding, unit testing, deployment, and maintenance
3+ years of RDBMS technology preferably Oracle and SQL Server
1+ years of SOA principles and implementation methodologies
1+ years of developing artifacts including functional documents, detailed design documents, test scripts
1+ years of ESB, Messaging, Pub/sub, JMS, Web services, WSDL, SOAP, REST, JSON, XSD
1+ years of Web Service and Messaging Testing tools
1+ years of enterprise application development & delivery
1+ years of ESB integration patterns, framework design including security"
"Senior Applications Support Analyst (Tier 2 - UNIX) - MN - 651356","3+ years of technical Applications support preferably in a hosted services environment
2+ years of technical experience with the following:
UNIX based operating systems
Maintaining and monitoring automated processes using Scheduling Tools
Relational Databases
Strong troubleshooting and analysis skills
Experience to anticipating and driving change
Microsoft Office Suite experience
Excellent customer service skills"
"C# .Net Developer - Lewis Center, and Westerville, OH - 654029","Bachelor's Degree OR High School Diploma/GED with 2 years of .Net programming experience
2+ years of .Net Framework v4.5 experience
2+ years of C# and ASP.Net MVC 5 experience
2 + years of SQL Server 2008 R2 experience
2+ years of jQuery and Ajax experience
2+ years of SOAP-based and REST-based Web Services experience"
"Applications Developer - Eden Prairie, MN - 656118","Generally work is self-directed and not prescribed.
Works with less structured, more complex issues.
Serves as a resource to others."
"IT Systems Analyst / Business Analyst - Schaumburg, IL - 647105","5+ years of experience in IT Systems Analysis or Business Analysis
5+ years of experience in all phases of Software Development Life Cycle (SDLC) /System Development Life Cycle
5+ years of experience translating business requirements into a detailed system specifications
Proficiency with Word, Excel, and Visio
Relational database / SQL experience"
"Web Application Development Lead - Plano, TX - 652630","Experience with MVC, NHibernate, SQL Server, current version of .NET, HTML 5, Angular, build script development, and Subversion or Git
Undergraduate degree in Computer Science or Information Systems
Experience managing a team of developers supporting custom platforms with complex integration requirements
7+ years of full Software Development Life Cycle experience developing in the Microsoft .NET or equivalent technologies"
"IT Operations Manager - Eden Prairie, MN - 657800","4+ years of experience production support triage
4+ years of experience project plan management
Proven experience with performance monitoring (DynaTrace, DCRUM, BSM, etc.)
Proven experience with security and audit practices
Proven experience with process improvement"
"Senior Business Systems Analyst - WellMed - San Antonio TX - 645265","Bachelor's Degree or equivalent work experience (4 additional years of comparable work experience beyond the required years of experience may be substituted in lieu of a bachelor’s degree)
8+ years of experience in developing requirements and performing system analysis
5+ years of experience in all phases of Software Development Life Cycle (SDLC) / System Development Life Cycle
5+ years of experience translating business requirements into a detailed system specification
Ability to analyze and document process and data flows
Ability to clearly communicate ideas and solutions
Ability to effectively work with both internal and external clients"
"IT Database Consultant / SSRS - Plymouth, MN - 638367",""
"Technology Development VP - Basking Ridge, NJ or Minneapolis, MN - 647276","End-to-end technology product/COTs SDLC, both waterfall and agile and portal development
Technology strategy, architecture, and execution with the ability to deliver on-time and within budget on tight timelines
Full-suite healthcare technology experience (e.g., eligibility, EDI, claims, Medicaid, medical management)
Compliance, legal and security technology experience (e.g., HIPAA, Sarbanes-Oxley, ADA)
Consulting expertise, such as creating win/wins, negotiation, influence, salesmanship
Experience with other disciplines/methodologies, such as PMI, ITIL, BABOK
Solid people management both directly and indirectly internationally and US based, virtual and local management, and multiple levels of management
Solid successful financial management experience, such as CBAs, cost centers
Undergraduate degree, advanced degree preferred, MIS or Technology related degree
10+ years experience leading an end-to-end Delivery Center supporting commercial/External Clients
10+ years experience direct consulting experience in the Delivery Center space designing, developing and implementing (DDI) and supporting large scale COTs technology products in the healthcare industry
Up to 50% travel
2 years experience in the healthcare domain"
"Scrum Master - Eden Prairie, MN - 634396","CSM or PSM Certification
5+ years of experience playing the Scrum Master role for a software development team that was diligently applying Scrum principles, practices, and theory
Demonstrated knowledge of servant leadership, facilitation, situational awareness, conflict resolution, continual improvement, empowerment, and increasing transparency
Knowledge of numerous well documented patterns and techniques for filling in the intentional gaps left in the Scrum approach (example: numerous Burndown techniques, numerous Retrospective formats, handling bugs, etc.)
Knowledge and/or experience with widely successful Agile techniques: User Stories, ATDD, TDD, Continuous Integration, Continuous Testing, Pairing, Automated Testing, Agile Games
Previous experience as a team lead
Must be able to work in Eden Prairie, MN offices"
"Voice Data Network Consultant - Elkridge or Baltimore, MD - 628276",""
"Data and IT Systems Analyst - Phoenix, AZ - 655977",""
